protocolname	led	lightamplitude	lightamplitude_rstarr	lightmean	lightmean_rstarr	startdate	enddate
LedPulse	Green LED	0.007	5	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.012	10	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.013	10	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.0121	10	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.014	10	0	0	2021-01-01	2023-12-31
LedPulse	Green LED	0.006	5	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.003	0.025	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.006	0.05	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.012	0.1	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.024	0.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.048	0.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.096	0.8	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.192	1.6	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.384	3.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.015	0.1	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.03	0.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.06	0.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.12	0.8	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.24	1.6	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.48	3.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.004	0.025	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.008	0.05	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.016	0.1	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.032	0.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.064	0.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.128	0.8	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.256	1.6	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.512	3.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.007	0.05	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.014	0.1	0	0	2021-01-01	2022-05-31
LedPulseFamily	Green LED	0.028	0.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.056	0.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.112	0.8	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.224	1.6	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.448	3.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.896	6.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.768	6.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.0074	0.05	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.0148	0.1	0	0	2021-01-01	2022-05-01
LedPulse	UV LED	-0.001	-250	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.003	-500	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.005	-1000	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.001	250	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.003	500	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.005	1000	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.002	250	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.004	500	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.005	750	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.007	1000	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.002	-250	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.004	-500	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.005	-750	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.007	-1000	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.002	-250	0.006	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.003	-500	0.006	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.006	-1000	0.006	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.002	250	0.006	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.003	500	0.006	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.006	1000	0.006	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.002	500	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.004	750	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.004	-750	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.005	750	0.006	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.005	-750	0.006	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.005	1000	0	0	2021-01-01	2022-05-01
LedPulse	UV LED	0.006	1000	0	0	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.002	-250	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.004	-500	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.005	-750	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.002	-250	0.006	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.006	-1000	0.006	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.003	500	0.006	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.01	2000	0.005	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.012	2000	0.006	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.014	2000	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.003	-500	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.006	-1000	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.002	-250	0.005	1000	2021-01-01	2022-05-01
LedPulse	Green LED	0.015	10	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.04	27	0	0	2021-01-01	2022-05-01
LedPulse	UV LED	-0.008	-1250	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.015	-2500	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.023	-3750	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.03	-5000	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.002	1250	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.003	2500	0.003	500	2021-01-01	2022-05-01
LedPulse	UV LED	0.003	3750	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.005	5000	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.006	1000	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.008	1250	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.015	2500	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.023	3750	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.03	5000	0.03	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.006	-1250	0.025	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.013	-2500	0.025	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.019	-3750	0.025	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.025	-5000	0.025	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.006	1250	0.025	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.013	2500	0.025	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.019	3750	0.025	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.025	5000	0.025	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.008	-1250	0.032	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.016	-2500	0.032	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.024	-3750	0.032	5000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.032	-5000	0.032	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.008	1250	0.032	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.016	2500	0.032	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.024	3750	0.032	5000	2021-01-01	2022-05-01
LedPulse	UV LED	0.032	5000	0.032	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.003	500	0	0	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.006	1000	0	0	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.012	2000	0	0	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.024	4000	0	0	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.002	250	0.008	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.003	500	0.003	500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.004	500	0.008	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.006	1000	0.003	500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.008	1000	0.008	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.008	1250	0.015	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.008	1250	0.03	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.012	2000	0.003	500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.016	2000	0.008	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.016	2500	0.015	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.016	2500	0.03	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.024	4000	0.003	500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.032	5000	0.015	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.032	5000	0.03	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.064	10000	0.015	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.064	10000	0.03	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.006	1000	0.006	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.015	2500	0.06	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.024	4000	0.006	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.03	5000	0.06	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.032	4000	0.008	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.06	10000	0.06	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.12	20000	0.06	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.015	2500	0.03	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.03	5000	0.03	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.048	8000	0.006	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.06	10000	0.03	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.12	20000	0.03	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.003	500	0.005	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.006	1000	0.005	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.006	1000	0.013	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.012	2000	0.005	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.012	2000	0.013	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.013	2500	0.025	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.013	2500	0.05	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.024	4000	0.005	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.024	4000	0.013	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.026	5000	0.025	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.026	5000	0.05	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.048	7500	0.013	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.052	10000	0.025	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.052	10000	0.05	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.104	20000	0.025	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.104	100	0.05	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.003	500	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.006	1000	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.008	1250	0.016	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.012	2000	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.016	2500	0.016	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.016	2500	0.032	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.024	4000	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.032	5000	0.016	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.032	5000	0.032	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.064	10000	0.016	2500	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.064	10000	0.032	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.104	100	0.104	100	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.128	20000	0.032	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.208	200	0.104	100	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.26	250	0.26	250	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.52	500	0	0	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.52	500	0.26	250	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.016	2500	0.065	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.032	5000	0.065	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.064	10000	0.065	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.128	20000	0.065	10000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.9	1000	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.024	20	0	0	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.005	1000	0.005	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.007	-1000	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.007	100	0.007	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.005	-1000	0.005	1000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.003	-500	0.006	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.015	2500	0	0	2021-01-01	2022-05-01
LedPulse	UV LED	0.01	320	0	0	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.007	1000	0.007	100	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.004	500	0.007	100	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.007	-1000	0.007	100	2021-01-01	2022-05-01
LedPulseFamily	UV LED	-0.005	-500	0.005	100	2021-01-01	2022-05-01
LedNoiseFamily	UV LED	0	0	0.025	5000	2021-01-01	2022-05-01
LedNoiseFamily	UV LED	0	0	0.03	5000	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.088	100	0.088	100	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.44	500	0	0	2021-01-01	2022-05-01
LedPulseFamily	UV LED	0.22	250	0.22	250	2021-01-01	2022-05-01
SaccadeTrajectory2	UV LED	0	0	0.006	1000	2021-01-01	2022-05-01
LedPulse	Green LED	0	0	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.01	0.1	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.013	10	0	0	2022-05-12	2022-05-12
LedPulse	Green LED	0.012	10	0	0	2022-05-12	2022-05-12
LedPulseFamily	Green LED	0.003	0.025	0	0	2022-05-12	2022-05-12
LedPulseFamily	Green LED	0.006	0.05	0	0	2022-05-12	2022-05-12
LedPulseFamily	Green LED	0.013	0.1	0	0	2022-05-12	2022-05-12
LedPulseFamily	Green LED	0.026	0.2	0	0	2022-05-12	2022-05-12
LedPulseFamily	Green LED	0.052	0.4	0	0	2022-05-12	2022-05-12
LedPulseFamily	Green LED	0.104	0.8	0	0	2022-05-12	2022-05-12
LedPulseFamily	Green LED	0.208	1.6	0	0	2022-05-12	2022-05-12
LedPulseFamily	Green LED	0.416	3.2	0	0	2022-05-12	2022-05-12
LedPulse	UV LED	0.01	1000	0.01	1000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.01	1000	0.01	1000	2022-05-12	2022-05-12
LedPulse	UV LED	0.012	1250	0.049	5000	2022-05-12	2022-05-12
LedPulse	UV LED	0.025	2500	0.049	5000	2022-05-12	2022-05-12
LedPulse	UV LED	0.037	3750	0.049	5000	2022-05-12	2022-05-12
LedPulse	UV LED	0.049	5000	0.049	5000	2022-05-12	2022-05-12
LedPulse	UV LED	-0.012	-1250	0.049	5000	2022-05-12	2022-05-12
LedPulse	UV LED	-0.025	-2500	0.049	5000	2022-05-12	2022-05-12
LedPulse	UV LED	-0.037	-3750	0.049	5000	2022-05-12	2022-05-12
LedPulse	UV LED	-0.049	-5000	0.049	5000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.78	500	0	0	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.005	500	0.005	500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.01	1000	0.005	500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.02	2000	0.005	500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.04	4000	0.005	500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.002	250	0.002	250	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.004	500	0.002	250	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.005	500	0.01	1000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.01	1000	0.01	1000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.02	2000	0.01	1000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.04	4000	0.01	1000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.012	1250	0.024	2500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.024	2500	0.024	2500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.048	5000	0.024	2500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.096	10000	0.024	2500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.024	2500	0.049	5000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.048	5000	0.049	5000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.096	10000	0.049	5000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.192	20000	0.049	5000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.024	2500	0.097	10000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.048	5000	0.097	10000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.096	10000	0.097	10000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.192	20000	0.097	10000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.005	500	0.005	500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.01	1000	0.005	500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.02	2000	0.005	500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.04	4000	0.005	500	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.156	100	0.156	100	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.312	200	0.156	100	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.024	2500	0.05	5000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.048	5000	0.05	5000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.096	10000	0.05	5000	2022-05-12	2022-05-12
LedPulseFamily	UV LED	0.192	20000	0.05	5000	2022-05-12	2022-05-12
LedPulse	Green LED	0.006	10	0	0	2022-05-04	2023-12-31
LedPulse	UV LED	0.006	1000	0.006	1000	2022-05-04	2022-05-10
LedPulse	UV LED	-0.008	-1250	0.03	5000	2022-05-04	2022-05-10
LedPulse	UV LED	-0.015	-2500	0.03	5000	2022-05-04	2022-05-10
LedPulse	UV LED	-0.023	-3750	0.03	5000	2022-05-04	2022-05-10
LedPulse	UV LED	-0.03	-5000	0.03	5000	2022-05-04	2022-05-10
LedPulse	UV LED	0.008	1250	0.03	5000	2022-05-04	2022-05-10
LedPulse	UV LED	0.015	2500	0.03	5000	2022-05-04	2022-05-10
LedPulse	UV LED	0.023	3750	0.03	5000	2022-05-04	2022-05-10
LedPulse	UV LED	0.03	5000	0.03	5000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.116	500	0	0	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.023	100	0.023	100	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.046	200	0.023	100	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.058	250	0.058	250	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.116	500	0.058	250	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.003	500	0.003	500	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.006	1000	0.003	500	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.012	2000	0.003	500	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.024	4000	0.003	500	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.003	500	0.006	1000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.006	1000	0.006	1000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.012	2000	0.006	1000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.024	4000	0.006	1000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.008	1250	0.015	2500	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.016	2500	0.015	2500	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.032	5000	0.015	2500	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.064	10000	0.015	2500	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.015	2500	0.03	5000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.03	5000	0.03	5000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.06	10000	0.03	5000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.12	20000	0.03	5000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.015	2500	0.06	10000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.03	5000	0.06	10000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.06	10000	0.06	10000	2022-05-04	2022-05-10
LedPulseFamily	UV LED	0.12	20000	0.06	10000	2022-05-04	2022-05-10
LedPulse	Green LED	0.006	10	0	0	2022-05-18	2022-05-19
LedPulse	UV LED	0.006	1000	0.006	1000	2022-05-18	2022-05-19
LedPulse	UV LED	-0.008	-1250	0.03	5000	2022-05-18	2022-05-19
LedPulse	UV LED	-0.015	-2500	0.03	5000	2022-05-18	2022-05-19
LedPulse	UV LED	-0.023	-3750	0.03	5000	2022-05-18	2022-05-19
LedPulse	UV LED	-0.03	-5000	0.03	5000	2022-05-18	2022-05-19
LedPulse	UV LED	0.008	1250	0.03	5000	2022-05-18	2022-05-19
LedPulse	UV LED	0.015	2500	0.03	5000	2022-05-18	2022-05-19
LedPulse	UV LED	0.023	3750	0.03	5000	2022-05-18	2022-05-19
LedPulse	UV LED	0.03	5000	0.03	5000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.116	500	0	0	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.023	100	0.023	100	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.046	200	0.023	100	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.058	250	0.058	250	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.116	500	0.058	250	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.003	500	0.003	500	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.006	1000	0.003	500	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.012	2000	0.003	500	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.024	4000	0.003	500	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.003	500	0.006	1000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.006	1000	0.006	1000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.012	2000	0.006	1000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.024	4000	0.006	1000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.008	1250	0.015	2500	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.016	2500	0.015	2500	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.032	5000	0.015	2500	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.064	10000	0.015	2500	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.015	2500	0.03	5000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.03	5000	0.03	5000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.06	10000	0.03	5000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.12	20000	0.03	5000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.015	2500	0.06	10000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.03	5000	0.06	10000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.06	10000	0.06	10000	2022-05-18	2022-05-19
LedPulseFamily	UV LED	0.12	20000	0.06	10000	2022-05-18	2022-05-19
LedPulse	UV LED	0.022	3750	0.03	5000	2022-05-12	2022-12-31
LedPulse	UV LED	-0.007	-1000	0.03	5000	2022-05-12	2022-12-31
LedPulse	UV LED	-0.022	-3750	0.03	5000	2022-05-12	2022-12-31
LedPulse	UV LED	0.014	2500	0.03	5000	2022-05-12	2022-12-31
LedPulse	UV LED	0.007	1000	0.03	5000	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.18	200	0	0	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.09	100	0	0	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.014	2500	0.015	2500	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.028	5000	0.015	2500	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.056	10000	0.015	2500	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.007	1000	0.015	2500	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.09	100	0.09	100	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.18	200	0.09	100	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.44	500	0.22	250	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.264	250	0	0	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.176	200	0.088	100	2022-05-12	2022-12-31
LedPulseFamily	UV LED	0.44	500	0.22	250	2022-05-12	2022-12-31
LedNoiseFamily	UV LED	0	0	0.032	5000	2022-05-12	2022-12-31
SaccadeTrajectory2	UV LED	0	0	0.007	1000	2022-05-12	2022-12-31
LedPulseFamily	Green LED	0.002	0.025	0	0	2022-05-12	2022-12-31
LedPulseFamily	Green LED	0.006	0.1	0	0	2022-05-12	2022-12-31
LedPulseFamily	Green LED	0.003	0.05	0	0	2022-05-12	2022-12-31
